"gonzalo","2001","3500","default","2016-02-16 05:55:27","2016-02-16 05:55:27","2016-02-16 05:55:42","15","15","NORMAL_CLEARING","d6195639-e9a2-eae4-c599-75e127f55602","","2001","opus","opus"
"FreeSWITCH User","2001","3500","default","2016-02-16 06:01:07","2016-02-16 06:01:07","2016-02-16 06:04:29","202","202","NORMAL_CLEARING","f6e4b127-0136-e2f2-8273-20bfef4e78e4","","2001","opus","opus"
"Gonzalo Gasca Meza","2001","3501","default","2016-02-17 03:40:07","2016-02-17 03:40:07","2016-02-17 03:40:20","13","13","NORMAL_CLEARING","d95f763b-1a58-4ddf-a5fc-817a6178f61f","","2001","G722","G722"
"Gonzalo Gasca Meza","2001","3502","default","2016-02-17 03:40:25","2016-02-17 03:40:25","2016-02-17 03:41:08","43","43","NORMAL_CLEARING","4603b9eb-8068-4964-8e52-8beacbb3959f","","2001","G722","G722"
"Gonzalo Gasca Meza","2001","3501","default","2016-02-17 03:41:32","2016-02-17 03:41:32","2016-02-17 03:42:38","66","66","NORMAL_CLEARING","b1ad81ad-0cbe-4e04-b287-888115fce56f","","2001","G722","G722"
"FreeSWITCH User","2001","3500","default","2016-02-17 05:22:07","2016-02-17 05:22:07","2016-02-17 05:24:29","142","142","RECOVERY_ON_TIMER_EXPIRE","1bfe3fd6-99ac-95c7-f415-3706c30a6859","","2001","opus","opus"
"Gonzalo Gasca Meza","2001","3500","default","2016-02-17 05:25:29","2016-02-17 05:25:29","2016-02-17 05:25:36","7","7","NORMAL_CLEARING","f5f7d234-4501-e8f6-511b-b2b2a7281d45","","2001","opus","opus"
"Gonzalo Gasca Meza","2001","3500","default","2016-02-17 05:27:12","2016-02-17 05:27:12","2016-02-17 05:28:16","64","64","NORMAL_CLEARING","c7800169-ecd9-6a25-a26a-158e2f360c54","","2001","opus","opus"
"Gonzalo Gasca Meza","2001","2001","default","2016-02-17 05:28:20","","2016-02-17 05:28:20","0","0","USER_NOT_REGISTERED","52fa0380-6e24-2dc4-551b-50308c365ff6","","2001","",""
"Gonzalo Gasca Meza","2002","2001","default","2016-02-17 05:28:54","","2016-02-17 05:28:54","0","0","USER_NOT_REGISTERED","fe347222-c7c0-d2ee-c830-2db048b6d724","","2001","",""
"Gonzalo Gasca Meza","2001","2002","default","2016-02-17 05:29:01","","2016-02-17 05:29:01","0","0","USER_NOT_REGISTERED","96ae697e-81eb-4d75-bdb5-bcf878942466","","2001","",""
"Gonzalo Gasca Meza","gonzalo@parzee.com","3501","default","2016-02-18 23:20:03","2016-02-18 23:20:03","2016-02-18 23:23:27","204","204","RECOVERY_ON_TIMER_EXPIRE","f5def074-11ec-e636-9f32-daf7b10d6d9e","","2001","opus","opus"
